TrueLabel,CategoryName,ImageId
306,dung beetle,0c7ac4a8c9dfa802
884,vase,f43fbfe8a9ea876c
244,bull mastiff,4fc263d35a3ad3ee
560,folding chair,cc13c2bc5cdd1f44
439,beaker,73a52afd2f818ed5
991,"buckeye, horse chestnut, conker",58f0fd17c4a0e25a
950,strawberry,90e11aa7c36c64f2
854,"thatch, thatched roof",696f0f6bea562bf8
610,"jeep, landrover",df58f94361c6d105
610,"jeep, landrover",1394faa319bd353c
583,"grocery store, grocery, food market, market",6cae4a23623d142b
916,yurt,d02adcb9140880a1
456,bottlecap,71080285ad6cb4e9
620,"lampshade, lamp shade",137ab6ca314e9e35
962,dough,c819099fed6f0d73
542,"drum, membranophone, tympan",4b384c8247b56c0a
631,Loafer,62ebd5f7ce015380
742,"prayer rug, prayer mat",f24817d66024dfb6
423,barbell,1b57d7bbd673c771
456,bottlecap,a2de1f4f2c1021fa
708,"pay-phone, pay-station",3e7b01ba495f15f9
855,"theater curtain, theatre curtain",1a264165276e3c85
923,menu,bc9a5e01c02e759e
472,cannon,01bdc0cfe670f708
130,spoonbill,6af829a442e2e0e7
538,"dogsled, dog sled, dog sleigh",493694833dc23399
673,mountain tent,6ac94c9244f84aa3
477,"carousel, carrousel, merry-go-round, roundabout, whirligig",7529b42e71769777
300,"meerkat, mierkat",d204464fcf15ad99
100,goose,7fd7ce3eb2bf9944
477,"carousel, carrousel, merry-go-round, roundabout, whirligig",303781188f1b3b27
252,"dalmatian, coach dog, carriage dog",67967c9db11151e0
521,"crib, cot",fa2a7d600b62174e
924,plate,cd2d2889ef7ac51c
23,"bald eagle, American eagle, Haliaeetus leucocephalus",11954d93a7051cb5
664,monastery,03f90f7138f761e8
761,"refrigerator, icebox",19935b1c0a4d305d
583,"grocery store, grocery, food market, market",9cf861a657c27cec
673,mountain tent,05817a675e7506d1
693,packet,e1c702ed9842dd1c
526,"dam, dike, dyke",e7cafac174e90143
932,"bagel, beigel",1a680f33500acb4b
318,leafhopper,81ddbe14219e9dcf
465,buckle,04cb9de291399d15
479,carton,23f9d18d531eb148
668,mortarboard,63f2e14ab6be82cf
962,dough,0dffbfa7ba43cb90
866,toyshop,a97274c7e80a1764
806,soccer ball,85e2eea48d912d31
325,cabbage butterfly,ff5182599937c1ec
34,"loggerhead, loggerhead turtle, Caretta caretta",4bb12984b41d0834
923,menu,150249123e81930d
143,dowitcher,f963957ccfa82f6b
313,cricket,890fdaf4e1892e00
303,"ground beetle, carabid beetle",9a1c67f467b9beea
583,"grocery store, grocery, food market, market",217597258ac12258
949,Granny Smith,346c5575b60194c3
361,otter,296033c3a5910845
790,shoji,3a7d9bd310202e93
441,beer bottle,56e9d5f63cfc507e
747,"puck, hockey puck",602f2c3749d6021e
765,rifle,7c754696067fdfa9
950,strawberry,8f5eda0b6a910b43
481,"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM",89119361e9d9e02d
134,bittern,da63f2acf683c0a7
793,shovel,741fc1a3fc08731d
901,water tower,d77af00930283f4b
734,pole,97151fe7a0a6e2e3
328,"starfish, sea star",393d40f3a6a79400
468,"butcher shop, meat market",8f5e0855ca8de8ea
442,beer glass,d72f34526e12fd83
883,"vacuum, vacuum cleaner",957529a2abaa0581
921,"traffic light, traffic signal, stoplight",3bd1ba0432603b28
840,suspension bridge,3228a465697fb2cf
956,"jackfruit, jak, jack",871c99d5658c3189
556,"fire engine, fire truck",1733cbc68a2ae05d
520,crate,69a3493d13953e1f
511,"container ship, containership, container vessel",8a82ddd7ab76efbb
889,viaduct,e95ef0aeeab7b496
991,"buckeye, horse chestnut, conker",8555611998ea426a
431,basketball,1cc2caf8e5db27c3
431,basketball,a00c8d22e63497c4
397,lionfish,4f553b721705d008
98,drake,f1ce339a44d7a118
645,matchstick,2153d9869fb5a9ef
79,tick,7506caf0a49c3951
141,"red-backed sandpiper, dunlin, Erolia alpina",1d4133f5bc7af193
363,badger,fd26c4733822dfcc
706,"passenger car, coach, carriage",60f5900a00d94b25
660,mixing bowl,79f953be91aa8ce2
641,manhole cover,d9da4e5ef53d5e8b
968,espresso,0411ca972e637297
490,chainlink fence,92dbb18dd447fd75
938,broccoli,65251969959ce0e6
